,Brand,Model,Ram,Rom,Screen_size,Operating System,Processor,Warranty,Price
358,MSI,Intel,8,512,15,Windows 11,512,1,"22,000 "
359,ASUS,Vivobook,16,512,16,Windows 11 Home,,1,"22,000 "
360,DELL,Inspiron,16,512,15.6,Windows 11,512,,"22,000 "
361,DELL,16,16,512,16,Windows 11,,1,"22,000 "
362,DELL,14,16,512,14,64 bit Windows 11,512,,
363,Lenovo,IdeaPad,32,,14,Windows 11,,1,
364,Lenovo,V,16,512,15.6,64 bit Windows 11,512,1,
365,Acer,Aspire,16,512,15.6,64 bit Windows 11 Home,512,1,"22,000 "
366,DELL,14,16,512,14,Windows 11,512,1,"22,000 "
367,DELL,14,16,512,14,Windows 11,512,,"22,000 "
368,Lenovo,LOQ,24,512,15.6,Windows 11,512,,"22,000 "
369,Acer,Aspire,16,512,15.6,Windows 11,512,1,"24,000 "
370,ASUS,Vivobook,8,512,14,Windows 11 Home,512,1,"22,000 "
371,MSI,Modern,16,512,14,Windows 11,512,1,"22,000 "
372,ASUS,Vivobook,16,512,15.6,Windows 11,512,1,
373,ASUS,Vivobook,8,512,15.6,Windows 11,512,1,"22,000 "
374,HP,240R,16,512,14,64 bit Windows 11,512,1,
375,Lenovo,V15,8,512,15.6,Windows 11,512,1,"22,000 "
376,MSI,Intel,8,512,14,Windows 11,512,1,"22,000 "
377,MSI,Modern,8,512,14,Windows 11,512,1,"22,000 "
378,HP,OMEN,24,,16,Windows 11 Home,8,1,
379,ASUS,Vivobook,8,512,15.6,Windows 11 Home,,1,"26,000 "
380,Lenovo,LOQ,12,512,15.6,Windows 11,512,1,"22,000 "
381,Apple,MacBook,16,512,13.6,Mac OS,512,1,"22,000 "
382,ASUS,Vivobook,8,512,15.6,Windows 11,512,1,
383,Lenovo,IdeaPad,16,512,15.6,Windows 11,512,,"22,000 "
384,ASUS,Vivobook,8,512,15.6,Windows 11,512,1,"22,000 "
385,HP,Backlit,8,512,15.6,64 bit Windows 11,512,1,"22,000 "
386,DELL,Inspiron,16,512,15.6,Windows 11,512,,"22,000 "
387,DELL,16,16,512,16,Windows 11,,1,"22,000 "
388,ASUS,Vivobook,16,512,15.6,Windows 11 Home,512,1,
389,HP,AMD,8,512,14,Windows 11,512,,
390,DELL,14,16,512,14,Windows 11,512,1,"22,000 "
391,Lenovo,V15,8,512,15.6,Windows 11,512,1,
392,Acer,Aspire,8,512,15.6,Windows 11,512,1,"24,000 "
393,DELL,PRO,8,512,15.6,64 bit Windows 11,512,,
394,Lenovo,V,16,512,14,64 bit Windows 11,512,1,
395,ASUS,Vivobook,16,512,16,Windows 11 Home,,1,"26,000 "
396,ASUS,Gaming,16,512,16,64 bit Windows 11 Home,,1,
397,Acer,Aspire,8,256,15.6,Windows 11,256,1,
398,ASUS,Vivobook,16,512,16,Windows 11 Home,512,1,
